Z,Isolation,Isolation2
860,-20.5702825040472,11.6891448929497
861,-20.8841630990118,11.8547608311541
862,-21.1685233114303,12.0362015770448
863,-21.5049129379665,12.2084740597122
864,-21.8910642068168,12.3920276252311
865,-22.1663654467555,12.5622752254166
866,-22.5255716863623,12.7143528569715
867,-22.9811401522422,12.934257934004
868,-23.2898143799665,13.1158822902857
869,-23.7186022269387,13.3001206762778
870,-24.2632042731644,13.5208692528199
871,-24.6122238373696,13.6904480490222
872,-25.0789436260086,13.8932708362493
873,-25.6482261565493,14.1339392440642
874,-26.0553187871625,14.3300389980323
875,-26.6433478052578,14.5433594182972
876,-27.3090322470432,14.7914530915374
877,-27.8894596304197,15.0068154674669
878,-28.5532708157944,15.2196385837107
879,-29.3059434687815,15.4462995404371
880,-30.1638740544327,15.6995936357107
881,-30.9907430895347,15.9458083109052
882,-31.7500839393626,16.173733121694
883,-32.8148624135236,16.428105903655
884,-34.2447731737288,16.7531100312668
885,-35.2988534671494,16.9692695400233
886,-37.0842341798714,17.2541939242397
887,-39.0729287231003,17.5538423535318
888,-41.0090563740389,17.8521318901229
889,-44.4698349901724,18.1459228400061
890,-41.013982752377,18.4604709662392
892,-39.0314333247656,18.8024104175687
894,-37.6357435140017,19.1664134860786
896,-36.5579547067878,19.5578722766864
898,-35.6799503950299,19.9814971206211
900,-34.9392404799188,20.4433225249069
902,-34.0484826163014,20.951255356903
904,-33.0452063430037,21.4061192467689
906,-32.2172786182196,22.1286003706846
908,-31.0037586827648,22.9794579425778
910,-30.0377938831993,24.0089827810824
912,-29.0184603291956,25.3117408437745
914,-28.1796284481901,26.4372813386482
916,-27.3162566692571,27.9034182190117
918,-26.4603651769088,29.081322215608
920,-25.9013095508718,30.638165172373
922,-24.9618622910059,32.9496051874496
924,-23.9624895718903,36.5205182541128
926,-23.2166098260838,41.1206096145441
928,-22.3662190232578,54.5317001933417
930,-21.6139683256891,48.3712888014247
932,-20.9915018637706,39.9872334283891
934,-20.3117461872787,35.1471263588614
936,-19.7443375086774,32.1614432266364
938,-19.1721063858569,29.8171980926893
940,-18.7041081294804,28.1407980376075
942,-18.1652385737835,26.4902180118139
944,-17.6715081652798,25.1128464637624
946,-17.2605008191389,24.0306905393036
948,-16.772919465733,22.8705410031923
950,-16.375581279611,21.9740182248614
952,-15.9757200893761,21.1279118623547
954,-15.6237431340391,20.3759842846874
956,-15.2240521864129,19.6008325409122
958,-14.8524419363424,18.8966983705455
